pid,type,bc,psr,trg,conv
652461,PASS,,BR-1100,MW-1250,1
652848,PASS,,RM-0300,DH-3950,1
653138,PASS,,AL-1100,CF-0650,1
653169,PASS,,AL-1100,AJ-0900,0
653628,RUSH,ML-2500,,,1
654323,PASS,,MM-2570,RS-3250,0
655388,PASS,,BR-1100,AB-3500,1
655419,PASS,,BR-1100,HM-0200,1
655502,PASS,,CK-0100,TS-2300,1
655660,PASS,,DB-3800,WS-0925,0
655863,RUSH,JB-2700,,,0
656189,PASS,,TT-0500,PH-0400,0
656207,RUSH,PH-0400,,,0
656369,PASS,,PR-0300,KA-0650,0
657534,PASS,,AR-1300,RR-1050,1
657865,PASS,,KC-2350,JC-5680,1
657993,PASS,,MR-2500,LT-0550,1
658216,RUSH,JF-2950,,,0
658888,PASS,,LM-0800,MC-2400,0
659475,PASS,,BR-1100,DH-2800,0
659838,PASS,,RT-0150,JL-0215,1
660137,RUSH,JB-2700,,,0
660356,PASS,,AS-1600,TK-0150,1
660384,PASS,,AS-1600,JA-2900,0
661099,RUSH,AW-1350,,,1
661820,RUSH,SR-0450,,,0
661937,RUSH,JH-4025,,,1
662151,PASS,,JM-2900,TG-0025,1
663263,PASS,,JC-6200,MM-0900,0
663278,PASS,,JC-6200,MF-1300,0
663588,PASS,,MR-2500,LH-0600,0
663594,PASS,,KC-2350,PG-0100,0
663750,PASS,,JW-5650,VJ-0100,1
664108,PASS,,JM-2900,TB-1060,0
664127,PASS,,JF-1900,JF-2800,0
664138,PASS,,JM-2900,AH-1900,1
665764,PASS,,LJ-1250,AB-3500,0
666284,PASS,,JC-6200,MF-1300,1
666490,PASS,,JM-2900,TB-1060,0
667379,PASS,,CK-0100,AB-2000,0
668081,RUSH,LM-1000,,,1
669255,PASS,,BH-1900,JG-3850,0
669597,PASS,,PR-0300,LG-0750,1
669623,PASS,,PR-0300,LG-0750,1
670094,PASS,,JF-1900,NB-0450,1
670863,PASS,,NF-0250,JC-4300,1
672783,PASS,,AR-1300,DA-0212,1
673116,PASS,,MM-0912,DW-0500,1
673349,RUSH,TG-1950,,,0
673410,RUSH,TB-2650,,,1
673711,PASS,,BR-1100,DW-3600,1
673999,PASS,,JW-5650,RS-0975,0
674700,RUSH,JL-0280,,,1
